e,Treatment Function Title,Comments
Surgical Specialties,,
100,General Surgery Service,"SERVICESdelivering surgical ACTIVITY not covered by other subspecialty areas. The majority of elective procedures, about 80 per cent, fall outside subspecialty areas. For further information, see: Royal College of Surgeons - Surgical Specialties"
101,Urology Service,"Surgical SERVICES for the treatment of disorders of the urinary system and male reproductive system. This includes surgery for gender dysphoria. For further information, see: Royal College of Surgeons - Urology"
102,Transplant Surgery Service,"SERVICESfor pre- and post-operative care for major organ transplants except heart and lung. Excludes Cardiothoracic Transplantation Service - see TREATMENT FUNCTION CODE 174, corneal grafts carried out by Ophthalmology Service - see TREATMENT FUNCTION CODE 130 and Blood and Bone Marrow Transplantation Service - see TREATMENT FUNCTION CODE 308. For further information, see: Royal College of Surgeons - General Surgery"
103,Breast Surgery Service,"SERVICESwhich include surgical treatment for cancer, suspected neoplasms, indeterminate breast lesions, benign breast lumps, disorders of the nipple-areolar complex, cysts and post-cancer reconstructive, revision and symmetrising surgery. Includes breast surgery for gender dysphoria. Excludes cosmetic surgery. For further information, see: Association of Breast Surgery"
104,Colorectal Surgery Service,"SERVICES for the surgical treatment of disorders of the lower intestine (colon, anus and rectum)"
105,Hepatobiliary and Pancreatic Surgery Service,"Specialist surgical SERVICES for hepatobiliary and pancreatic (HPB) disorders. To be used by recognised specialist units and associated outreach SERVICES only. Excludes Transplant Surgery Service - see TREATMENT FUNCTION CODE 102. For further information, see: NHS England: Hepatobiliary and Pancreas"
106,Upper Gastrointestinal Surgery Service,"SERVICESfor surgical treatment of disorders of the upper parts of the gastrointestinal tract. For further information, see: Royal College of Surgeons - General Surgery"
107,Vascular Surgery Service,"SERVICES for the surgical treatment of diseases of the vascular system. For further information, see: Royal College of Surgeons - Vascular Surgery"
108,Spinal Surgery Service,"Surgery concentrating on specialised and complex treatment of issues of the back and spine. To be used by recognised specialist units and associated outreach SERVICES only. Excludes Trauma and Orthopaedic Service - see TREATMENT FUNCTION CODE 110, Orthopaedic Service - see TREATMENT FUNCTION CODE  111, Trauma Surgery Service - see TREATMENT FUNCTION CODE 115 and Spinal Injuries Service - see TREATMENT FUNCTION CODE  323. For further information, see: British Association of Spine Surgeons"
109,Bariatric Surgery Service,"SERVICESassessing, managing and treating obesity, and specifically consideration of bariatric (weight loss) surgery. It includes PATIENTS who are obese and have, or are at risk of, other medical conditions. It does not cover preventing a PERSON from becoming overweight or obese, or lifestyle weight management programmes for a PERSON who is overweight or obese. For further information, see: National Institute for Health and Care Excellence - Obesity"
110,Trauma and Orthopaedic Service,"SERVICESto treat injuries, congenital and acquired disorders of the bones, joints, and their associated soft tissues, including ligaments, nerves and muscles. Excludes Orthopaedic Surgery Service - TREATMENT FUNCTION CODE 111 and Spinal Surgery Service - see TREATMENT FUNCTION CODE  108. For major trauma centres use Trauma Surgery Service - see TREATMENT FUNCTION CODE 115. For further information, see: Royal College of Surgeons - Major Trauma Surgery and Royal College of Surgeons - Orthopaedic Surgery"
111,Orthopaedic Service,"SERVICESfor the elective or planned surgical assessment or treatment of the musculoskeletal system. Excludes Trauma Surgery Service - see TREATMENT FUNCTION CODE 115. Where there is no dedicated Orthopaedic Service use Trauma and Orthopaedic Service - see TREATMENT FUNCTION CODE 110. For further information, see: Royal College of Surgeons - Orthopaedic Surgery"
113,Endocrine Surgery Service,"SERVICESfor the surgical treatment of diseases of the thyroid and/or other endocrine glands. For further information, see: Royal College of Surgeons - General Surgery"
115,Trauma Surgery Service,"Major trauma specialist SERVICES at a designated unit, with the specific exclusion of Spinal Surgery Service - see TREATMENT FUNCTION CODE  108. Excludes elective or planned Orthopaedic Surgery Service - see TREATMENT FUNCTION CODE 111. Where there is no major trauma centre use Trauma and Orthopaedics Service - see TREATMENT FUNCTION CODE 110. For further information, see: Royal College of Surgeons - Major Trauma Surgery"
120,Ear Nose and Throat Service,"Formerly known as ENT. Surgical SERVICES for the assessment, diagnosis, management and treatment of ear, nose and/or throat issues. Excludes Audiology Service - see TREATMENT FUNCTION CODE 840. For further information, see: Royal College of Surgeons - Ear, Nose & Throat (ENT)"
130,Ophthalmology Service,"The surgical treatment of disorders and diseases of the eye. Excludes Medical Ophthalmology Service - see TREATMENT FUNCTION CODE  460 and Ophthalmic and Vision Science Service - see TREATMENT FUNCTION CODE  461. For further information, see: Royal College of Ophthalmologists"
